MD	2004	63.1%
MA	2004	64.6%
MI	2004	67.1%
MN	2004	78.8%
MS	2004	61.4%
MO	2004	66.1%
MT	2004	65.2%
NE	2004	64.1%
NV	2004	55.4%
NH	2004	71.5%
NJ	2004	64.2%
NM	2004	60.4%
NY	2004	58.5%
NC	2004	58.7%
ND	2004	65.5%
OH	2004	67.9%
OK	2004	61.4%
OR	2004	72.6%
PA	2004	61.4%
RI	2004	58.9%
SC	2004	53.2%
SD	2004	69.4%
TN	2004	56.8%
TX	2004	61.4%
UT	2004	59.8%
VT	2004	66.7%
VA	2004	61.1%
WA	2004	67.5%
WV	2004	55.1%
WI	2004	75.3%
WY	2004	66.3%		
US	2000	55.3%
AL	2000	61.4%
AK	2000	68.7%
AZ	2000	46.4%
AR	2000	61.4%
CA	2000	56.6%
CO	2000	61.4%
CT	2000	62.5%
DE	2000	61.4%
DC	2000	61.4%
FL	2000	57.5%
GA	2000	47.6%
HI	2000	44.6%
ID	2000	58.9%
IL	2000	58.5%
IN	2000	61.4%
IA	2000	61.4%
KS	2000	56.7%
KY	2000	53.1%
LA	2000	56.7%
ME	2000	55.1%
MD	2000	55.8%
MA	2000	60.6%
MI	2000	60.5%
MN	2000	70.1%
MS	2000	55.1%
MO	2000	55.1%
MT	2000	62.6%
NE	2000	57.8%
NV	2000	45.6%
NH	2000	65.0%
NJ	2000	58.8%
NM	2000	49.9%
NY	2000	56.2%
NC	2000	52.5%
ND	2000	61.1%
OH	2000	57.8%
OK	2000	55.1%
OR	2000	65.9%
PA	2000	55.1%
RI	2000	54.7%
SC	2000	48.7%
SD	2000	58.7%
TN	2000	50.5%
TX	2000	49.2%
UT	2000	54.8%
VT	2000	64.7%
VA	2000	55.0%
WA	2000	61.4%
WV	2000	55.1%
WI	2000	55.1%
WY	2000	61.4%		
US	1996	55.1%
AL	1996	64.7%
AK	1996	60.7%
AZ	1996	46.5%
AR	1996	64.7%
CA	1996	55.0%
CO	1996	64.7%
CT	1996	60.4%
DE	1996	52.5%
DC	1996	47.4%
FL	1996	53.3%
GA	1996	45.8%
HI	1996	45.1%
ID	1996	61.6%
IL	1996	53.8%
IN	1996	51.0%
IA	1996	59.7%
KS	1996	57.8%
KY	1996	49.3%
LA	1996	58.4%
ME	1996	64.7%
MD	1996	50.8%
MA	1996	59.3%
MI	1996	56.3%
MN	1996	66.6%
MS	1996	64.7%
MO	1996	64.7%
MT	1996	64.7%
NE	1996	57.8%
NV	1996	41.2%
NH	1996	60.1%
NJ	1996	56.9%
NM	1996	49.5%
NY	1996	52.9%
NC	1996	64.7%
ND	1996	57.1%
OH	1996	56.7%
OK	1996	51.4%
OR	1996	60.6%
PA	1996	64.7%
RI	1996	64.7%
SC	1996	44.1%
SD	1996	62.2%
TN	1996	64.7%
TX	1996	64.7%
UT	1996	52.1%
VT	1996	60.0%
VA	1996	51.3%
WA	1996	59.9%
WV	1996	47.1%
WI	1996	64.7%
WY	1996	62.5%		
US	1992	0.0%
AL	1992	64.7%
AK	1992	67.1%
AZ	1992	56.7%
AR	1992	64.7%
CA	1992	61.6%
CO	1992	64.0%
CT	1992	69.8%
DE	1992	58.3%
DC	1992	54.2%
FL	1992	57.2%
GA	1992	61.6%
HI	1992	48.2%
ID	1992	66.9%
IL	1992	63.6%
IN	1992	56.4%
IA	1992	66.1%
KS	1992	64.1%
KY	1992	61.6%
LA	1992	60.0%
ME	1992	61.6%
MD	1992	58.1%
MA	1992	64.9%
MI	1992	64.0%
MN	1992	73.9%
MS	1992	54.3%
MO	1992	61.6%
MT	1992	70.4%
NE	1992	64.8%
NV	1992	54.6%
NH	1992	67.0%
NJ	1992	62.0%
NM	1992	55.0%
NY	1992	57.8%
NC	1992	61.6%
ND	1992	68.1%
OH	1992	62.5%
OK	1992	63.5%
OR	1992	69.9%
PA	1992	61.6%
RI	1992	61.6%
SC	1992	47.3%
SD	1992	61.6%
TN	1992	61.6%
TX	1992	61.6%
UT	1992	67.5%
VT	1992	69.7%
VA	1992	61.6%
WA	1992	65.0%
WV	1992	61.6%
WI	1992	61.6%
WY	1992	62.8%		
US	1988	0.0%
AL	1988	61.6%
AK	1988	57.3%
AZ	1988	49.1%
AR	1988	57.3%
CA	1988	57.5%
CO	1988	60.8%
CT	1988	61.4%
DE	1988	54.0%
DC	1988	43.5%
FL	1988	57.3%
GA	1988	57.3%
HI	1988	49.8%
ID	1988	63.1%
IL	1988	59.1%
IN	1988	55.6%
IA	1988	61.4%
KS	1988	57.3%
KY	1988	57.3%
LA	1988	57.3%
ME	1988	57.3%
MD	1988	52.5%
MA	1988	61.3%
MI	1988	56.7%
MN	1988	68.8%
MS	1988	57.3%
MO	1988	57.3%
MT	1988	66.7%
NE	1988	60.3%
NV	1988	46.1%
NH	1988	57.8%
NJ	1988	57.1%
NM	1988	53.4%
NY	1988	54.0%
NC	1988	57.3%
ND	1988	66.2%
OH	1988	57.3%
OK	1988	53.1%
OR	1988	62.3%
PA	1988	57.3%
RI	1988	57.6%
SC	1988	42.5%
SD	1988	57.3%
TN	1988	57.3%
TX	1988	57.3%
UT	1988	63.4%
VT	1988	66.7%
VA	1988	57.3%
WA	1988	58.6%
WV	1988	57.3%
WI	1988	57.3%
WY	1988	59.2%		
US	1984	0.0%
AL	1984	57.3%
AK	1984	62.1%
AZ	1984	48.9%
AR	1984	57.3%
CA	1984	58.9%
CO	1984	59.2%
CT	1984	64.8%
DE	1984	58.4%
DC	1984	46.5%
FL	1984	57.3%
GA	1984	57.3%
HI	1984	50.3%
ID	1984	63.7%
IL	1984	62.7%
IN	1984	57.9%
IA	1984	65.1%
KS	1984	57.3%
KY	1984	57.3%
LA	1984	57.3%
ME	1984	57.3%
MD	1984	54.5%
MA	1984	60.7%
MI	1984	60.6%
MN	1984	70.9%
MS	1984	57.3%
MO	1984	57.3%
MT	1984	68.2%
NE	1984	59.1%
NV	1984	44.8%
NH	1984	56.6%
NJ	1984	60.5%
NM	1984	54.6%
NY	1984	57.2%
NC	1984	57.3%
ND	1984	67.2%
OH	1984	60.3%
OK	1984	55.5%
OR	1984	66.4%
PA	1984	57.3%
RI	1984	60.6%
SC	1984	43.7%
SD	1984	67.2%
TN	1984	67.2%
TX	1984	67.2%
UT	1984	64.3%
VT	1984	61.6%
VA	1984	67.2%
WA	1984	62.9%
WV	1984	67.2%
WI	1984	67.2%
WY	1984	57.9%
US	1980	0.0%
AL	1980	67.2%
AK	1980	60.2%
AZ	1980	47.5%
AR	1980	67.2%
CA	1980	56.2%
CO	1980	59.1%
CT	1980	64.7%
DE	1980	56.8%
DC	1980	37.9%
FL	1980	67.2%
GA	1980	67.2%
HI	1980	49.2%
ID	1980	70.4%
IL	1980	61.9%
IN	1980	59.2%
IA	1980	63.5%
KS	1980	67.2%
KY	1980	67.2%
LA	1980	67.2%
ME	1980	67.2%
MD	1980	52.5%
MA	1980	62.4%
MI	1980	62.4%
MN	1980	72.1%
MS	1980	67.2%
MO	1980	67.2%
MT	1980	67.1%
NE	1980	58.4%
NV	1980	51.9%
NH	1980	60.9%
NJ	1980	58.5%
NM	1980	53.2%
NY	1980	53.0%
NC	1980	67.2%
ND	1980	68.0%
OH	1980	57.3%
OK	1980	54.2%
OR	1980	64.3%
PA	1980	67.2%
RI	1980	62.7%
SC	1980	42.4%
SD	1980	67.2%
TN	1980	67.2%
TX	1980	67.2%
UT	1980	66.6%
VT	1980	59.3%
VA	1980	67.2%
WA	1980	60.6%
WV	1980	53.5%
WI	1980	67.2%
WY	1980	55.4%
